headline,url
"The secrets of the Ford used in ‘Harry Potter’: Wrecked 14 times, stolen once",https://english.elpais.com/lifestyle/2023-11-28/the-secrets-of-the-ford-used-in-harry-potter-wrecked-14-times-stolen-once.html
"Welcome back, Samuel Beckett",https://english.elpais.com/culture/2023-11-28/welcome-back-samuel-beckett.html
‘Dracula’ in your inbox: Newsletters for reading the classics,https://english.elpais.com/technology/2023-11-28/dracula-in-your-inbox-newsletters-for-reading-the-classics.html
"Biography of David Koresh, the rocker who wanted to be a messiah",https://english.elpais.com/culture/2023-11-28/biography-of-david-koresh-the-rocker-who-wanted-to-be-a-messiah.html
Eddie Izzard returns to New York for a version of Shakespeare’s ‘Hamlet’ with just one actor onstage ,https://english.elpais.com/culture/2023-11-28/eddie-izzard-returns-to-new-york-for-a-version-of-shakespeares-hamlet-with-just-one-actor-onstage.html
A walk through Cambridge with Virginia Woolf,https://english.elpais.com/travel/2023-11-28/a-walk-through-cambridge-with-virginia-woolf.html
The story of the deal that Shakira reluctantly accepted after the Latin Grammys,https://english.elpais.com/people/2023-11-26/the-story-of-the-deal-that-shakira-reluctantly-accepted-after-the-latin-grammys.html
"‘Good-looking people are disgusting, so they have to find mechanisms to show their stuff’: Can comedians be sexy?",https://english.elpais.com/culture/2023-11-26/good-looking-people-are-disgusting-so-they-have-to-find-mechanisms-to-show-their-stuff-can-comedians-be-sexy.html
Neil Hannon: ‘I was prepared for my fans to say my last album was shit’,https://english.elpais.com/culture/2023-11-26/neil-hannon-i-was-prepared-for-my-fans-to-say-my-last-album-was-shit.html
Karol G begins her Colombia concert tour in a women’s prison and children’s hospital,https://english.elpais.com/international/2023-11-25/karol-g-begins-her-colombia-concert-tour-in-in-a-womens-prison-and-childrens-hospital.html
Live now in Los40,https://los40.us/ 
First Images of Anuel After Life-or-Death Surgery,https://los40.us/2023/first-image-of-anuel-aa-after-life-or-death-surgery-14125.html
Taylor Swift’s Gift to Her Fans for Her Birthday,https://los40.us/2023/taylor-swifts-gift-to-her-fans-for-her-birthday-14138.html
"Formula 1: With victory at Abu Dhabi Grand Prix, Max Verstappen remains unstoppable",https://english.elpais.com/sports/2023-11-27/formula-1-with-victory-at-abu-dhabi-grand-prix-max-verstappen-remains-unstoppable.html
Embiid and Banchero: USA Basketball fishing in international waters for 2024 Olympics,https://english.elpais.com/sports/2023-11-23/embiid-and-banchero-usa-basketball-fishing-in-international-waters-for-2024-olympics.html
Columbus Crew ask minimum $421 for individual tickets vs. Messi and Miami next season ,https://english.elpais.com/sports/2023-11-28/columbus-crew-ask-minimum-421-for-individual-tickets-vs-messi-and-miami-next-season.html
" South African Olympic runner Oscar Pistorius granted parole, will be released from prison on Jan. 5 ",https://english.elpais.com/sports/2023-11-24/south-african-olympic-runner-oscar-pistorius-granted-parole-will-be-released-from-prison-on-jan-5.html
Money imposes its law on OpenAI,https://english.elpais.com/technology/2023-11-27/money-imposes-its-law-on-openai.html
There’s no extremist wave hitting democracies: it’s a steady undercurrent,https://english.elpais.com/international/2023-11-28/theres-no-extremist-wave-hitting-democracies-its-a-steady-undercurrent.html
